TmdbId,MovieTitle,Popularity,ReleaseDate,Revenue,Runtime
11017,Billy Madison,6.638116,34740,26488734,0089.0
9382,Boys on the Side,3.030309,34733,23450000,0115.0
2292,Clerks,10.513367,34590,3151130,0092.0
1909,Don Juan DeMarco,7.438934,34608,22200000,0097.0
8984,Disclosure,11.812244,34677,214015089,0123.0
8467,Dumb and Dumber,9.844558,34684,247275374,0107.0
10451,é£²é£Ÿç”·å¥³,4.860016,34549,7294403,0123.0
18395,Exit to Eden,4.322726,34621,6841570,0113.0
522,Ed Wood,11.720358,34604,5887457,0127.0
15789,A Goofy Movie,10.177977,34796,35348597,0078.0
27303,Hideaway,8.182165,34761,12201255,0103.0
47867,Gordy,0.398924,34831,3992809,0090.0
14275,Hoop Dreams,9.47666,34589,7830611,0171.0
1024,Heavenly Creatures,9.438042,34579,3049135,0099.0
17207,Houseguest,2.688562,34705,26325256,0113.0
14819,Heavyweights,9.546707,34747,17689177,0100.0
628,Interview with the Vampire,11.970205,34649,223664608,0123.0
87729,Jefferson in Paris,1.596058,34789,2474000,0139.0
6280,Junior,6.710215,34660,37000000,0109.0
11,Star Wars,42.149697,28270,775398007,0121.0
18183,Como agua para chocolate,4.126083,33710,21665468,0105.0
4476,Legends of the Fall,12.199047,34684,160638883,0133.0
28313,Losing Isaiah,7.698526,34775,7603766,0106.0
3036,Frankenstein,14.287753,34642,112006296,0123.0
8986,Milk Money,3.770115,34577,18137661,0108.0
10510,Miracle on 34th Street,5.831622,34656,46264384,0114.0
17402,Miami Rhapsody,1.137266,34726,5,0095.0
8438,Murder in the First,9.518564,34719,17381942,0122.0
1945,Nell,5.930957,34691,106683817,0112.0
241,Natural Born Killers,11.226856,34571,50282766,0119.0
527,Once Were Warriors,4.025276,34579,2201126,0099.0
6950,Outbreak,13.676444,34768,189859560,0127.0
101,LÃ©on,20.477329,34591,45284974,0110.0
63020,The Perez Family,1.433544,34831,2832826,0113.0
680,Pulp Fiction,140.950236,34587,213928762,0154.0
41478,Panther,7.160149,35013,6834525,0124.0
25296,Pushing Hands,1.638622,33635,152322,0105.0
40156,Priest,1.881932,34335,4176932,0098.0
12106,The Quick and the Dead,7.54701,34739,18552460,0107.0
161495,Roommates,3.395867,34759,12400000,0108.0
3586,PrÃªt-Ã -Porter,6.259433,34691,11300653,0133.0
22586,The Swan Princess,8.910462,34656,9771658,0089.0
2636,The Specialist,10.388183,34614,170362582,0110.0
2164,Stargate,13.328924,34634,196567262,0121.0
11395,The Santa Clause,9.665424,34648,189833357,0097.0
278,The Shawshank Redemption,51.645403,34600,28341469,0142.0
87078,Suture,1.298224,34226,102780,0096.0
9067,Tank Girl,7.602087,34789,4064495,0098.0
193,Star Trek: Generations,8.105708,34655,120000000,0118.0
25066,Tales from the Hood,2.86007,34843,12000000,0098.0
11381,Tommy Boy,11.971318,34789,32648673,0097.0
1587,What's Eating Gilbert Grape,10.3919,34320,10032765,0118.0
9271,Virtuosity,5.188399,34915,24048000,0106.0
2064,While You Were Sleeping,15.783615,34810,182057016,0103.0
60855,Double Happiness,0.372239,34584,759393,0087.0
236,Muriel's Wedding,5.254847,34606,15119639,0106.0
3049,Ace Ventura: Pet Detective,11.247957,34369,107217396,0086.0
2759,"The Adventures of Priscilla, Queen of the Desert",8.328596,34485,11220670,0104.0
10497,Bitter Moon,11.298195,33849,1862805,0139.0
9331,Clear and Present Danger,7.513245,34549,215887717,0141.0
10731,The Client,15.263829,34535,117615211,0119.0
9495,The Crow,15.799336,34465,94000000,0102.0
29973,Cobb,2.583363,34670,1007583,0128.0
888,The Flintstones,15.019586,34480,341631208,0091.0
13,Forrest Gump,48.307194,34521,677945399,0142.0
712,Four Weddings and a Funeral,8.990345,34402,254700832,0117.0
16295,Higher Learning,7.817811,34710,38290723,0127.0
48992,I Like It Like That,0.289295,34621,1777020,0104.0
10879,I Love Trouble,3.570874,34514,61947267,0123.0
41647,Die Macht der Bilder: Leni Riefenstahl,0.568884,34223,449707,0180.0
8587,The Lion King,21.605761,34508,788241776,0089.0
1689,Little Buddha,5.681522,34304,4858139,0140.0
11596,New Nightmare,9.860522,34620,18090181,0112.0
854,The Mask,14.13488,34544,351583407,0101.0
36593,The Naked Gun 33â…“: The Final Insult,10.587232,34411,51132598,0083.0
2788,Reality Bites,6.514592,34383,20079850,0099.0
10427,Red Rock West,5.137903,34158,2000000,0098.0
1637,Speed,10.859292,34494,350448145,0116.0
8831,Timecop,8.907074,34592,101646581,0099.0
36955,True Lies,11.396099,34529,378882411,0141.0
10449,When a Man Loves a Woman,4.322544,34453,50021959,0126.0
12160,Wyatt Earp,9.277147,34509,25052000,0191.0
52038,A Man of No Importance,0.406113,34690,953,0099.0
26352,A Low Down Dirty Shame,3.021526,34661,29392418,0100.0
22067,Jason's Lyric,0.912909,34605,20851521,0119.0
11667,Street Fighter,13.58449,34690,99423521,0102.0
8011,Highlander III: The Sorcerer,6.866634,34667,36800000,0099.0
2654,In the Mouth of Madness,8.497643,34680,8946600,0095.0
2758,Addams Family Values,17.555909,34292,48919043,0094.0
10436,The Age of Innocence,8.013617,34229,32255440,0139.0
46094,The Air Up There,1.896273,34341,21011500,0107.0
11853,Bad Girls,14.644772,34446,15240435,0099.0
306,Beverly Hills Cop III,11.787784,34478,119208989,0104.0
26203,Blink,3.00282,34360,16668552,0106.0
178,Blown Away,13.155071,34516,30156002,0121.0
4722,Body Snatchers,6.559693,34129,428868,0087.0
18215,Boxing Helena,4.304224,34138,1796389,0107.0
1607,A Bronx Tale,6.115628,34226,17287898,0121.0
26391,Cabin Boy,1.679042,34341,3662459,0080.0
117553,Calendar Girl,1.316741,34215,2570145,0090.0
6075,Carlito's Way,8.698509,34283,36516012,0144.0
18658,Clean Slate,2.724621,34460,7355425,0107.0
9350,Cliffhanger,9.830853,34117,255000211,0112.0
2124,Color of Night,14.228963,34565,19726050,0121.0
11566,Dave,13.696394,34096,63000000,0110.0
9571,Dazed and Confused,6.8652,34236,7993039,0102.0
9739,Demolition Man,11.626116,34250,159055768,0115.0
18551,Flesh and Bone,1.896869,34278,9488998,0126.0
9024,For Love or Money,8.468869,34243,11146270,0094.0
37233,The Firm,9.678367,34150,270248367,0154.0
1634,Free Willy,5.990572,34166,153698625,0112.0
5503,The Fugitive,10.08937,34187,368875760,0130.0
35588,Geronimo: An American Legend,4.653462,34313,18635620,0115.0
2087,The Getaway,14.214403,34376,30,0115.0
4916,Guilty as Sin,5.385108,34124,22886222,0107.0
2019,Hard Target,7.834351,34201,74189677,0097.0
9255,Hot Shots! Part Deux,13.482371,34110,133752825,0086.0
12475,In the Army Now,6.071466,34558,28881266,0091.0
9386,In the Line of Fire,12.637158,34158,176997168,0128.0
7984,In the Name of the Father,7.405895,34315,65796862,0133.0
59930,The Inkwell,0.613335,34446,8880705,0110.0
6,Judgment Night,5.538671,34257,12136938,0110.0
329,Jurassic Park,8.863776,34131,920100000,0127.0
10909,Kalifornia,8.4337,34213,2395231,0117.0
507,Killing Zoe,4.948569,34243,418961,0096.0
9593,Last Action Hero,9.434006,34138,137298489,0130.0
1413,M. Butterfly,6.516976,34221,1499795,0101.0
2246,Malice,9.861672,34241,46405336,0107.0
10502,The Man without a Face,5.997712,34206,24760338,0114.0
10440,Manhattan Murder Mystery,8.939404,34199,11285588,0104.0
9516,Menace II Society,5.260924,34115,27900000,0097.0
2320,Executive Decision,13.106291,35139,121969216,0133.0
788,Mrs. Doubtfire,11.16553,34297,441286195,0125.0
11231,The Next Karate Kid,9.9697,34533,15826984,0107.0
10447,No Escape,9.715187,34453,15340000,0118.0
9559,A Perfect World,8.040589,34297,135130999,0138.0
9800,Philadelphia,13.373006,34325,206678440,0125.0
713,The Piano,7.436758,34108,116700000,0121.0
8291,Poetic Justice,6.972599,34173,27515786,0109.0
18133,The Program,3.199976,34236,23042200,0112.0
25557,The Puppet Masters,7.272296,34628,8638072,0109.0
10872,The Ref,5.868677,34402,11439193,0097.0
1245,The Remains of the Day,12.222576,34278,23237911,0134.0
11858,Renaissance Man,4.985157,34488,24332324,0128.0
7007,Rising Sun,6.279082,34180,107198790,0125.0
5550,RoboCop 3,8.685798,34076,10696210,0104.0
8005,Robin Hood: Men in Tights,17.136672,34178,35739755,0104.0
2088,Romeo Is Bleeding,9.796318,34225,3275585,0100.0
47889,Ruby in Paradise,0.941994,34250,1001437,0114.0
14534,Rudy,5.914833,34229,22750363,0114.0
424,Schindler's List,41.725123,34302,321365567,0195.0
14291,Searching for Bobby Fischer,12.048587,34194,7266383,0110.0
11592,Serial Mom,5.305311,34437,7820688,0095.0
8850,The Shadow,7.881107,34516,48063435,0108.0
695,Short Cuts,8.829337,34217,6110979,0187.0
12519,Sirens,2.86213,34243,7770731,0098.0
858,Sleepless in Seattle,10.234919,34144,227799884,0105.0
867,Sliver,11.23297,34110,116300000,0108.0
78,Blade Runner,96.272374,30127,33139618,0117.0
13203,Son in Law,9.122718,34152,36448200,0095.0
10442,So I Married an Axe Murderer,8.051914,34180,11585483,0093.0
9607,Super Mario Bros.,7.198455,34117,20915465,0104.0
17585,Surviving the Game,3.644641,34439,7690013,0096.0
9057,Terminal Velocity,8.012225,34600,16478900,0102.0
9479,The Nightmare Before Christmas,17.730913,34251,75634409,0076.0
10057,The Three Musketeers,6.34785,34284,53898845,0105.0
11969,Tombstone,11.338194,34328,56505065,0130.0
319,True Romance,17.189328,34221,12281551,0120.0
15139,The Pagemaster,7.436001,34661,13670688,0080.0
24405,Chasers,9.85327,34446,1596687,0102.0
